Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1758093780,+2.97,+25.519, +7.713,+0.918
1758093840,+2.97,+25.747, +7.532,+0.918
1758093900,+2.97,+25.882, +7.482,+0.917
1758093960,+2.97,+25.958, +7.472,+0.918
1758094020,+2.97,+26.017, +7.447,+0.917
1758094080,+2.97,+26.084, +7.434,+0.917
1758094140,+2.97,+26.143, +7.430,+0.917
1758094200,+2.97,+26.203, +7.412,+0.916
1758094260,+2.97,+26.270, +7.405,+0.917
1758094320,+2.96,+26.329, +7.401,+0.917
1758094380,+2.96,+26.363, +7.383,+0.916
1758094440,+2.96,+26.406, +7.384,+0.916
1758094500,+2.97,+26.439, +7.364,+0.915
1758094560,+2.97,+26.431, +7.379,+0.916
1758094620,+2.97,+26.439, +7.381,+0.916
1758094680,+2.97,+26.473, +7.372,+0.915
1758094740,+2.97,+26.465, +7.394,+0.916
1758094800,+2.97,+26.490, +7.385,+0.916
1758094860,+2.97,+26.516, +7.388,+0.916
1758094920,+2.97,+26.473, +7.378,+0.916
1758094980,+2.97,+26.499, +7.386,+0.915
1758095040,+2.97,+26.507, +7.407,+0.916
1758095100,+2.97,+26.516, +7.405,+0.916
1758095160,+2.97,+26.558, +7.405,+0.916
1758095220,+2.97,+26.592, +7.409,+0.916
1758095280,+2.97,+26.600, +7.413,+0.916
1758095340,+2.97,+26.617, +7.413,+0.916
1758095400,+2.97,+26.634, +7.426,+0.916
1758095460,+2.97,+26.651, +7.416,+0.915
1758095520,+2.97,+26.668, +7.430,+0.916
1758095580,+2.97,+26.685, +7.435,+0.916
1758095640,+2.97,+26.719, +7.425,+0.916
1758095700,+2.97,+26.727, +7.426,+0.916
1758095760,+2.97,+26.753, +7.424,+0.916
1758095820,+2.97,+26.753, +7.419,+0.915
1758095880,+2.97,+26.795, +7.419,+0.915
1758095940,+2.97,+26.795, +7.427,+0.916
1758096000,+2.97,+26.820, +7.422,+0.916
1758096060,+2.97,+26.846, +7.429,+0.916
1758096120,+2.97,+26.846, +7.421,+0.915
1758096180,+2.97,+26.812, +7.442,+0.916
1758096240,+2.97,+26.600, +7.537,+0.915
1758096300,+2.97,+26.575, +7.549,+0.915
1758096360,+2.97,+26.566, +7.535,+0.915
1758096420,+2.97,+26.549, +7.531,+0.915
1758096480,+2.97,+26.465, +7.510,+0.916
1758096540,+2.96,+26.414, +7.526,+0.916
1758096600,+2.96,+26.372, +7.559,+0.916
1758096660,+2.96,+26.355, +7.570,+0.916
1758096720,+2.96,+26.329, +7.574,+0.916
1758096780,+2.96,+26.321, +7.576,+0.917
1758096840,+2.96,+26.262, +7.826,+0.915
1758096900,+2.97,+26.220, +7.865,+0.916
1758096960,+2.97,+26.203, +7.906,+0.916
1758097020,+2.97,+26.186, +7.930,+0.916
1758097080,+2.97,+26.169, +7.960,+0.916
1758097140,+2.97,+26.135, +8.001,+0.916
1758097200,+2.97,+26.118, +7.980,+0.917
1758097260,+2.97,+26.101, +7.995,+0.917
1758097320,+2.97,+26.076, +8.000,+0.916
1758097380,+2.97,+26.067, +8.029,+0.917
1758097440,+2.97,+26.076, +8.035,+0.917
1758097500,+2.97,+26.076, +8.033,+0.917
1758097560,+2.97,+26.076, +8.021,+0.916
1758097620,+2.97,+26.084, +8.034,+0.917
1758097680,+2.97,+26.084, +8.042,+0.918
1758097740,+2.97,+26.093, +8.040,+0.918
1758097800,+2.97,+26.093, +8.041,+0.918
1758097860,+2.97,+26.110, +8.033,+0.917
1758097920,+2.97,+26.101, +8.039,+0.917
1758097980,+2.97,+26.118, +8.026,+0.917
1758098040,+2.97,+26.110, +8.044,+0.917
1758098100,+2.97,+26.118, +8.052,+0.916
1758098160,+2.97,+26.110, +8.054,+0.916
1758098220,+2.97,+26.127, +8.055,+0.916
1758098280,+2.97,+26.143, +8.057,+0.916
1758098340,+2.97,+26.177, +8.054,+0.916
1758098400,+2.97,+26.152, +8.062,+0.916
1758098460,+2.97,+26.169, +8.067,+0.916
1758098520,+2.97,+26.177, +8.070,+0.916
1758098580,+2.97,+26.203, +8.069,+0.916
1758098640,+2.97,+26.186, +8.085,+0.916
1758098700,+2.97,+26.194, +8.083,+0.916
1758098760,+2.97,+26.220, +8.088,+0.917
1758098820,+2.97,+26.245, +8.067,+0.915
1758098880,+2.97,+26.228, +8.087,+0.916
1758098940,+2.97,+26.245, +8.088,+0.916
1758099000,+2.96,+26.245, +8.088,+0.916
1758099060,+2.97,+26.262, +8.084,+0.915
1758099120,+2.96,+26.270, +8.103,+0.917
1758099180,+2.96,+26.270, +8.107,+0.916
1758099240,+2.96,+26.279, +8.103,+0.916
1758099300,+2.96,+26.270, +8.115,+0.916
1758099360,+2.96,+26.270, +8.128,+0.917
1758099420,+2.96,+26.296, +8.110,+0.916
1758099480,+2.96,+26.287, +8.114,+0.916
1758099540,+2.96,+26.296, +8.114,+0.916
1758099600,+2.96,+26.304, +8.122,+0.916
1758099660,+2.96,+26.304, +8.137,+0.917
1758099720,+2.96,+26.313, +8.127,+0.916
1758099780,+2.96,+26.304, +8.138,+0.916
1758099840,+2.96,+26.313, +8.139,+0.916
1758099900,+2.96,+26.321, +8.134,+0.916
1758099960,+2.96,+26.321, +8.135,+0.916
1758100020,+2.96,+26.338, +8.141,+0.917
1758100080,+2.96,+26.329, +8.144,+0.916
1758100140,+2.96,+26.329, +8.147,+0.916
1758100200,+2.96,+26.321, +8.151,+0.916
1758100260,+2.96,+26.346, +8.153,+0.916
1758100320,+2.96,+26.346, +8.163,+0.916
1758100380,+2.96,+26.380, +8.167,+0.916
1758100440,+2.96,+26.406, +8.182,+0.916
1758100500,+2.96,+26.406, +8.197,+0.916
1758100560,+2.97,+26.456, +8.214,+0.917
1758100620,+2.97,+26.473, +8.218,+0.916
1758100680,+2.97,+26.499, +8.230,+0.916
1758100740,+2.97,+26.533, +8.233,+0.916
1758100800,+2.97,+26.566, +8.256,+0.919
1758100860,+2.97,+26.592, +8.252,+0.918
1758100920,+2.97,+26.600, +8.274,+0.918
1758100980,+2.97,+26.643, +8.278,+0.918
1758101040,+2.97,+26.668, +8.289,+0.918
1758101100,+2.97,+26.685, +8.291,+0.918
