Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1758093780,+2.96,+25.742, +7.654,+0.860
1758093840,+2.96,+25.851, +7.650,+0.860
1758093900,+2.96,+25.961, +7.614,+0.861
1758093960,+2.96,+26.020, +7.595,+0.860
1758094020,+2.96,+26.080, +7.587,+0.860
1758094080,+2.96,+26.122, +7.562,+0.860
1758094140,+2.96,+26.223, +7.560,+0.860
1758094200,+2.96,+26.299, +7.537,+0.860
1758094260,+2.96,+26.376, +7.511,+0.860
1758094320,+2.96,+26.460, +7.492,+0.860
1758094380,+2.96,+26.503, +7.469,+0.860
1758094440,+2.96,+26.528, +7.454,+0.859
1758094500,+2.96,+26.537, +7.449,+0.859
1758094560,+2.96,+26.537, +7.452,+0.860
1758094620,+2.96,+26.562, +7.446,+0.859
1758094680,+2.96,+26.553, +7.453,+0.859
1758094740,+2.96,+26.570, +7.449,+0.859
1758094800,+2.96,+26.579, +7.450,+0.859
1758094860,+2.96,+26.570, +7.438,+0.859
1758094920,+2.96,+26.545, +7.474,+0.860
1758094980,+2.96,+26.570, +7.472,+0.859
1758095040,+2.96,+26.579, +7.495,+0.860
1758095100,+2.96,+26.604, +7.489,+0.859
1758095160,+2.96,+26.655, +7.496,+0.860
1758095220,+2.96,+26.664, +7.494,+0.860
1758095280,+2.96,+26.681, +7.487,+0.859
1758095340,+2.96,+26.715, +7.489,+0.859
1758095400,+2.96,+26.740, +7.499,+0.859
1758095460,+2.96,+26.757, +7.505,+0.859
1758095520,+2.96,+26.791, +7.507,+0.859
1758095580,+2.96,+26.816, +7.501,+0.859
1758095640,+2.96,+26.850, +7.498,+0.859
1758095700,+2.96,+26.876, +7.492,+0.858
1758095760,+2.96,+26.893, +7.509,+0.860
1758095820,+2.96,+26.918, +7.491,+0.859
1758095880,+2.96,+26.927, +7.495,+0.859
1758095940,+2.96,+26.978, +7.488,+0.858
1758096000,+2.96,+26.986, +7.492,+0.859
1758096060,+2.96,+26.994, +7.500,+0.859
1758096120,+2.96,+27.028, +7.498,+0.859
1758096180,+2.96,+26.944, +7.590,+0.859
1758096240,+2.96,+26.689, +7.603,+0.859
1758096300,+2.96,+26.655, +7.629,+0.859
1758096360,+2.96,+26.647, +7.645,+0.858
1758096420,+2.96,+26.681, +7.590,+0.858
1758096480,+2.96,+26.562, +7.585,+0.858
1758096540,+2.96,+26.477, +7.596,+0.859
1758096600,+2.96,+26.443, +7.619,+0.860
1758096660,+2.96,+26.384, +7.627,+0.859
1758096720,+2.96,+26.350, +7.637,+0.859
1758096780,+2.96,+26.333, +7.646,+0.859
1758096840,+2.96,+26.139, +7.841,+0.859
1758096900,+2.96,+26.173, +7.904,+0.859
1758096960,+2.96,+26.147, +7.953,+0.860
1758097020,+2.96,+26.164, +7.923,+0.859
1758097080,+2.96,+26.130, +7.950,+0.860
1758097140,+2.96,+26.122, +7.944,+0.859
1758097200,+2.96,+26.080, +7.976,+0.860
1758097260,+2.96,+26.080, +7.957,+0.860
1758097320,+2.96,+26.071, +7.964,+0.860
1758097380,+2.96,+26.063, +7.993,+0.860
1758097440,+2.96,+26.063, +7.992,+0.860
1758097500,+2.96,+26.054, +7.928,+0.860
1758097560,+2.96,+26.071, +7.881,+0.860
1758097620,+2.96,+26.063, +7.756,+0.860
1758097680,+2.96,+26.063, +7.599,+0.859
1758097740,+2.96,+26.054, +7.572,+0.859
1758097800,+2.96,+26.080, +7.716,+0.860
1758097860,+2.96,+26.063, +7.869,+0.860
1758097920,+2.96,+26.063, +7.871,+0.860
1758097980,+2.96,+26.071, +7.727,+0.860
1758098040,+2.96,+26.063, +7.634,+0.859
1758098100,+2.96,+26.071, +7.711,+0.860
1758098160,+2.96,+26.088, +8.034,+0.860
1758098220,+2.96,+26.096, +7.974,+0.860
1758098280,+2.96,+26.088, +8.060,+0.861
1758098340,+2.96,+26.113, +8.066,+0.860
1758098400,+2.96,+26.139, +8.074,+0.860
1758098460,+2.96,+26.130, +8.086,+0.861
1758098520,+2.96,+26.147, +8.073,+0.860
1758098580,+2.96,+26.147, +8.093,+0.861
1758098640,+2.96,+26.156, +8.088,+0.861
1758098700,+2.96,+26.173, +8.072,+0.860
1758098760,+2.96,+26.189, +8.080,+0.860
1758098820,+2.96,+26.164, +8.077,+0.860
1758098880,+2.96,+26.181, +8.083,+0.860
1758098940,+2.96,+26.198, +8.090,+0.860
1758099000,+2.96,+26.206, +8.092,+0.860
1758099060,+2.96,+26.223, +8.083,+0.860
1758099120,+2.96,+26.206, +8.093,+0.860
1758099180,+2.96,+26.223, +8.101,+0.861
1758099240,+2.96,+26.223, +8.088,+0.860
1758099300,+2.96,+26.240, +8.093,+0.860
1758099360,+2.96,+26.249, +8.103,+0.860
1758099420,+2.96,+26.249, +8.099,+0.860
1758099480,+2.96,+26.257, +8.102,+0.860
1758099540,+2.96,+26.257, +8.118,+0.860
1758099600,+2.96,+26.274, +8.129,+0.860
1758099660,+2.96,+26.274, +8.130,+0.860
1758099720,+2.96,+26.291, +8.119,+0.860
1758099780,+2.96,+26.266, +8.122,+0.860
1758099840,+2.96,+26.291, +8.114,+0.859
1758099900,+2.96,+26.266, +8.125,+0.860
1758099960,+2.96,+26.283, +8.119,+0.861
