7450-617031
OS REV: 1.05 Sensor Cal: 1669223133
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1758093780,+3.10,+25.839, +7.399,+0.955
1758093840,+3.09,+25.999, +7.355,+0.955
1758093900,+3.09,+26.041, +7.348,+0.955
1758093960,+3.09,+26.067, +7.355,+0.956
1758094020,+3.09,+26.084, +7.353,+0.955
1758094080,+3.09,+26.075, +7.349,+0.955
1758094140,+3.09,+26.084, +7.360,+0.955
1758094200,+3.09,+26.092, +7.360,+0.955
1758094260,+3.09,+26.100, +7.354,+0.955
1758094320,+3.09,+26.092, +7.365,+0.955
1758094380,+3.09,+26.092, +7.368,+0.955
1758094440,+3.09,+26.109, +7.349,+0.955
1758094500,+3.09,+26.126, +7.342,+0.955
1758094560,+3.09,+26.134, +7.346,+0.955
1758094620,+3.09,+26.134, +7.346,+0.955
1758094680,+3.09,+26.151, +7.350,+0.955
1758094740,+3.09,+26.151, +7.349,+0.955
1758094800,+3.09,+26.143, +7.364,+0.955
1758094860,+3.09,+26.160, +7.359,+0.955
1758094920,+3.09,+26.160, +7.367,+0.955
1758094980,+3.09,+26.168, +7.368,+0.955
1758095040,+3.09,+26.160, +7.368,+0.955
1758095100,+3.09,+26.176, +7.374,+0.956
1758095160,+3.09,+26.176, +7.366,+0.955
1758095220,+3.09,+26.176, +7.375,+0.955
1758095280,+3.09,+26.176, +7.366,+0.955
1758095340,+3.09,+26.168, +7.365,+0.955
1758095400,+3.09,+26.185, +7.373,+0.955
1758095460,+3.09,+26.168, +7.373,+0.955
1758095520,+3.09,+26.193, +7.365,+0.955
1758095580,+3.09,+26.176, +7.373,+0.955
1758095640,+3.09,+26.168, +7.359,+0.955
1758095700,+3.09,+26.176, +7.348,+0.955
1758095760,+3.09,+26.160, +7.340,+0.955
1758095820,+3.09,+26.151, +7.338,+0.955
1758095880,+3.09,+26.134, +7.345,+0.955
1758095940,+3.09,+26.117, +7.344,+0.955
1758096000,+3.09,+26.109, +7.350,+0.955
1758096060,+3.09,+26.117, +7.351,+0.955
1758096120,+3.09,+26.109, +7.352,+0.955
1758096180,+3.09,+26.092, +7.372,+0.956
1758096240,+3.09,+26.109, +7.363,+0.955
1758096300,+3.09,+26.100, +7.273,+0.955
1758096360,+3.09,+26.109, +7.276,+0.955
1758096420,+3.09,+26.109, +7.256,+0.955
1758096480,+3.09,+26.092, +7.511,+0.955
1758096540,+3.09,+26.075, +7.521,+0.956
1758096600,+3.09,+26.092, +7.512,+0.955
1758096660,+3.09,+26.109, +7.498,+0.955
