Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,17/09/2025 , 09:05:00,0,0
2,17/09/2025 , 09:10:00,41,5.1
3,17/09/2025 , 09:15:00,74,9.3
4,17/09/2025 , 09:20:00,43,5.4
5,17/09/2025 , 09:25:00,41,5.1
6,17/09/2025 , 09:30:00,929,116.6
7,17/09/2025 , 09:35:00,1632,204.9
8,17/09/2025 , 09:40:00,1034,129.8
9,17/09/2025 , 09:45:00,1303,163.6
10,17/09/2025 , 09:50:00,1355,170.1
11,17/09/2025 , 09:55:00,1540,193.4
12,17/09/2025 , 10:00:00,1489,187
13,17/09/2025 , 10:05:00,1381,173.4
14,17/09/2025 , 10:10:00,1682,211.2
15,17/09/2025 , 10:15:00,1747,219.4
16,17/09/2025 , 10:20:00,1572,197.4
17,17/09/2025 , 10:25:00,1195,150
18,17/09/2025 , 10:30:00,930,116.8
19,17/09/2025 , 10:35:00,876,110
20,17/09/2025 , 10:40:00,1015,127.4
21,17/09/2025 , 10:45:00,903,113.4
22,17/09/2025 , 10:50:00,983,123.4
23,17/09/2025 , 10:55:00,1003,125.9
24,17/09/2025 , 11:00:00,895,112.4
25,17/09/2025 , 11:05:00,885,111.1
26,17/09/2025 , 11:10:00,894,112.3
27,17/09/2025 , 11:15:00,3859,484.6
28,17/09/2025 , 11:20:00,5551,697
29,17/09/2025 , 11:25:00,4793,601.8
30,17/09/2025 , 11:30:00,4830,606.5
31,17/09/2025 , 11:35:00,5999,753.3
32,17/09/2025 , 11:40:00,4562,572.8
33,17/09/2025 , 11:45:00,2300,288.8
34,17/09/2025 , 11:50:00,2763,346.9
35,17/09/2025 , 11:55:00,2511,315.3
36,17/09/2025 , 12:00:00,3638,456.8
37,17/09/2025 , 12:05:00,1003,125.9
38,17/09/2025 , 12:10:00,2570,322.7
39,17/09/2025 , 12:15:00,0,0
40,17/09/2025 , 12:20:00,0,0
41,17/09/2025 , 12:25:00,0,0
42,17/09/2025 , 12:30:00,0,0
43,17/09/2025 , 12:35:00,0,0
44,17/09/2025 , 12:40:00,0,0
45,17/09/2025 , 12:45:00,0,0
46,17/09/2025 , 12:50:00,0,0
47,17/09/2025 , 12:55:00,0,0
48,17/09/2025 , 13:00:00,0,0
49,17/09/2025 , 13:05:00,0,0
50,17/09/2025 , 13:10:00,0,0
51,17/09/2025 , 13:15:00,0,0
52,17/09/2025 , 13:20:00,0,0
53,17/09/2025 , 13:25:00,0,0
54,17/09/2025 , 13:30:00,0,0
55,17/09/2025 , 13:35:00,0,0
56,17/09/2025 , 13:40:00,0,0
57,17/09/2025 , 13:45:00,0,0
58,17/09/2025 , 13:50:00,0,0
59,17/09/2025 , 13:55:00,0,0
60,17/09/2025 , 14:00:00,0,0
61,17/09/2025 , 14:05:00,0,0
62,17/09/2025 , 14:10:00,0,0
63,17/09/2025 , 14:15:00,0,0
64,17/09/2025 , 14:20:00,0,0
65,17/09/2025 , 14:25:00,0,0
66,17/09/2025 , 14:30:00,0,0
67,17/09/2025 , 14:35:00,13,1.6
68,17/09/2025 , 14:40:00,29,3.6
69,17/09/2025 , 14:45:00,17,2.1
70,17/09/2025 , 14:50:00,0,0
