Scan No ,Date,  Time,RAW VALUE ,CALIBRATED VALUE
1,17/09/2025 , 09:05:00,8,4.3
2,17/09/2025 , 09:10:00,26,14
3,17/09/2025 , 09:15:00,486,261
4,17/09/2025 , 09:20:00,704,378
5,17/09/2025 , 09:25:00,614,329.7
6,17/09/2025 , 09:30:00,725,389.3
7,17/09/2025 , 09:35:00,816,438.2
8,17/09/2025 , 09:40:00,254,136.4
9,17/09/2025 , 09:45:00,304,163.2
10,17/09/2025 , 09:50:00,334,179.3
11,17/09/2025 , 09:55:00,377,202.4
12,17/09/2025 , 10:00:00,371,199.2
13,17/09/2025 , 10:05:00,343,184.2
14,17/09/2025 , 10:10:00,409,219.6
15,17/09/2025 , 10:15:00,439,235.7
16,17/09/2025 , 10:20:00,382,205.1
17,17/09/2025 , 10:25:00,294,157.9
18,17/09/2025 , 10:30:00,228,122.4
19,17/09/2025 , 10:35:00,222,119.2
20,17/09/2025 , 10:40:00,255,136.9
21,17/09/2025 , 10:45:00,225,120.8
22,17/09/2025 , 10:50:00,235,126.2
23,17/09/2025 , 10:55:00,243,130.5
24,17/09/2025 , 11:00:00,219,117.6
25,17/09/2025 , 11:05:00,217,116.5
26,17/09/2025 , 11:10:00,218,117.1
27,17/09/2025 , 11:15:00,1040,558.4
28,17/09/2025 , 11:20:00,1423,764.1
29,17/09/2025 , 11:25:00,1232,661.5
30,17/09/2025 , 11:30:00,1255,673.9
31,17/09/2025 , 11:35:00,1581,848.9
32,17/09/2025 , 11:40:00,1191,639.5
33,17/09/2025 , 11:45:00,584,313.6
34,17/09/2025 , 11:50:00,724,388.8
35,17/09/2025 , 11:55:00,653,350.6
36,17/09/2025 , 12:00:00,1004,539.1
37,17/09/2025 , 12:05:00,572,307.1
38,17/09/2025 , 12:10:00,1399,751.2
39,17/09/2025 , 12:15:00,0,0
40,17/09/2025 , 12:20:00,0,0
41,17/09/2025 , 12:25:00,0,0
42,17/09/2025 , 12:30:00,0,0
43,17/09/2025 , 12:35:00,0,0
44,17/09/2025 , 12:40:00,0,0
45,17/09/2025 , 12:45:00,0,0
46,17/09/2025 , 12:50:00,0,0
47,17/09/2025 , 12:55:00,0,0
48,17/09/2025 , 13:00:00,0,0
49,17/09/2025 , 13:05:00,0,0
50,17/09/2025 , 13:10:00,0,0
51,17/09/2025 , 13:15:00,0,0
52,17/09/2025 , 13:20:00,0,0
53,17/09/2025 , 13:25:00,0,0
54,17/09/2025 , 13:30:00,0,0
55,17/09/2025 , 13:35:00,0,0
56,17/09/2025 , 13:40:00,0,0
57,17/09/2025 , 13:45:00,0,0
58,17/09/2025 , 13:50:00,0,0
59,17/09/2025 , 13:55:00,0,0
60,17/09/2025 , 14:00:00,0,0
61,17/09/2025 , 14:05:00,0,0
62,17/09/2025 , 14:10:00,0,0
63,17/09/2025 , 14:15:00,0,0
64,17/09/2025 , 14:20:00,0,0
65,17/09/2025 , 14:25:00,0,0
66,17/09/2025 , 14:30:00,0,0
67,17/09/2025 , 14:35:00,5,2.7
68,17/09/2025 , 14:40:00,9,4.8
69,17/09/2025 , 14:45:00,7,3.8
70,17/09/2025 , 14:50:00,1,0.5
