Latitude,Longitud,Bottom_Typ,Descriptio,Depth
40.7313995,13.9630003,Posidonia,Bleaching,3.100000000000000
40.7312012,13.9625998,Sand, ,4.700000000000000
40.7310982,13.9625998,Sand, ,5.200000000000000
40.7309990,13.9628000,Posidonia,"Bleached, long leaves",4.100000000000000
40.7308998,13.9629002,Posidonia,A lot of epiphytes,4.400000000000000
40.7309990,13.9630003,Posidonia,"Grazed, a lot of Salpa bites",2.600000000000000
40.7308998,13.9632998,Posidonia matte,dead,1.700000000000000
40.7308998,13.9632998,Posidonia matte,dead,1.100000000000000
40.7308006,13.9632998,Posidonia matte,dead with some rocks,1.700000000000000
40.7307014,13.9633999,Posidonia,small leaves,1.700000000000000
40.7307014,13.9633999,Rock,Bouldens,2.300000000000000
40.7304001,13.9633999,Rock,with algae,3.300000000000000
40.7304001,13.9633999,Posidonia,long leaves with epiphytes ambiente zone,5.600000000000000
40.7303009,13.9633999,Posidonia,long leaves with epiphytes ambiente zone,6.600000000000000
40.7300987,13.9637003,Sand, ,7.600000000000000
40.7300987,13.9638004,Rock,with algae,5.600000000000000
40.7304993,13.9635000,Rock, ,2.200000000000000
40.7312012,13.9632998,Algae,Caulerpa,1.100000000000000
40.7312012,13.9632998,Algae,Caulerpa in Posidonia matte,1.000000000000000
0.0000000,0.0000000,Sand, ,4.800000190730000
0.0000000,0.0000000,Posidonia, ,4.500000000000000
0.0000000,0.0000000,Posidonia, ,4.500000000000000
0.0000000,0.0000000,Posidonia,Epiphytes,4.099999904630000
0.0000000,0.0000000,Posidonia,Bleaching,3.400000095370000
0.0000000,0.0000000,Posidonia,Sparse,1.500000000000000
0.0000000,0.0000000,Posidonia matte,Matte,0.699999988079000
0.0000000,0.0000000,Rock,Algae (Caulerpa + dyctiota),0.800000011921000
0.0000000,0.0000000,Posidonia matte,Matte,0.899999976158000
0.0000000,0.0000000,Posidonia,Sparse + short leafs Posidonia,2.000000000000000
0.0000000,0.0000000,Sand,Posidonia at 4.7,5.300000190730000
0.0000000,0.0000000,Posidonia,Deep,5.599999904630000
0.0000000,0.0000000,Rock,Without algae,3.000000000000000
0.0000000,0.0000000,Rock,With Posidonia (mixed),2.900000095370000
0.0000000,0.0000000,Rock,with Padina pavonica,4.800000190730000
0.0000000,0.0000000,Algae,Caulerpa in dead matte,1.299999952320000
0.0000000,0.0000000,Algae,Caulpera in dead matte,1.000000000000000
0.0000000,0.0000000,Posidonia matte, ,1.200000047680000
